,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,13,31,61.0,67.0,,,,,,,,,,,,,,,
1,21,48,95.0,,,,,,,,,,,,,,,,
2,32,40,44.0,46.0,47.0,51.0,52.0,53.0,65.0,69.0,74.0,75.0,76.0,79.0,81.0,,,,
3,8,12,68.0,83.0,86.0,93.0,,,,,,,,,,,,,
4,14,24,45.0,54.0,57.0,59.0,63.0,64.0,84.0,88.0,,,,,,,,,
5,36,42,90.0,,,,,,,,,,,,,,,,
6,34,37,43.0,,,,,,,,,,,,,,,,
7,22,41,49.0,58.0,71.0,82.0,85.0,89.0,92.0,,,,,,,,,,
8,62,66,77.0,,,,,,,,,,,,,,,,
9,11,50,73.0,98.0,99.0,,,,,,,,,,,,,,
10,0,3,4.0,9.0,17.0,18.0,23.0,26.0,28.0,33.0,35.0,55.0,87.0,91.0,94.0,,,,
11,1,6,7.0,10.0,15.0,16.0,19.0,25.0,27.0,29.0,30.0,38.0,39.0,56.0,60.0,70.0,78.0,80.0,96.0
12,2,72,97.0,,,,,,,,,,,,,,,,
13,5,20,,,,,,,,,,,,,,,,,
