,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2,6.0,7.0,9.0,21.0,43.0,49.0,57.0,65.0,67.0,76.0,81.0,86.0,92.0,,,,,,,
1,10,18.0,77.0,83.0,,,,,,,,,,,,,,,,,
2,5,32.0,69.0,95.0,,,,,,,,,,,,,,,,,
3,35,45.0,59.0,60.0,64.0,73.0,,,,,,,,,,,,,,,
4,4,14.0,33.0,38.0,39.0,51.0,74.0,75.0,79.0,91.0,,,,,,,,,,,
5,13,25.0,37.0,62.0,68.0,70.0,93.0,94.0,,,,,,,,,,,,,
6,23,29.0,61.0,66.0,99.0,,,,,,,,,,,,,,,,
7,17,20.0,48.0,,,,,,,,,,,,,,,,,,
8,3,8.0,24.0,27.0,31.0,36.0,42.0,47.0,52.0,53.0,54.0,55.0,63.0,71.0,84.0,87.0,89.0,90.0,96.0,97.0,98.0
9,15,19.0,46.0,50.0,80.0,88.0,,,,,,,,,,,,,,,
10,16,26.0,34.0,56.0,,,,,,,,,,,,,,,,,
11,11,12.0,22.0,28.0,30.0,40.0,41.0,44.0,58.0,72.0,78.0,85.0,,,,,,,,,
12,0,1.0,,,,,,,,,,,,,,,,,,,
13,82,,,,,,,,,,,,,,,,,,,,
