,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,92,,,,,,,,,,,,,,,,,,,
1,31,35.0,49.0,59.0,67.0,91.0,93.0,,,,,,,,,,,,,
2,5,9.0,11.0,23.0,30.0,34.0,36.0,51.0,53.0,58.0,61.0,63.0,71.0,75.0,80.0,83.0,88.0,95.0,96.0,99.0
3,2,56.0,,,,,,,,,,,,,,,,,,
4,29,37.0,68.0,77.0,81.0,,,,,,,,,,,,,,,
5,1,3.0,21.0,32.0,,,,,,,,,,,,,,,,
6,10,12.0,13.0,14.0,15.0,22.0,24.0,48.0,82.0,85.0,87.0,90.0,,,,,,,,
7,20,26.0,33.0,40.0,42.0,46.0,52.0,57.0,60.0,66.0,70.0,76.0,79.0,,,,,,,
8,6,18.0,27.0,44.0,69.0,84.0,,,,,,,,,,,,,,
9,17,19.0,25.0,38.0,39.0,43.0,50.0,55.0,62.0,72.0,74.0,89.0,97.0,,,,,,,
10,4,7.0,16.0,28.0,41.0,47.0,54.0,65.0,78.0,86.0,94.0,98.0,,,,,,,,
11,45,64.0,73.0,,,,,,,,,,,,,,,,,
12,0,8.0,,,,,,,,,,,,,,,,,,
