,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,45,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,22,35.0,49.0,57.0,84.0,94.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,11,44.0,48.0,50.0,74.0,79.0,101.0,103.0,109.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,29,82,86.0,93.0,110.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,46,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,43,68,71.0,75.0,91.0,99.0,105.0,108.0,117.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,6,7.0,10.0,12.0,13.0,15.0,18.0,19.0,20.0,23.0,24.0,25.0,26.0,27.0,31.0,34.0,36.0,42.0,52.0,54.0,56.0,59.0,62.0,70.0,78.0,83.0,85.0,88.0,90.0,92.0,107.0,111.0,116.0,120.0,121.0
7,58,89,95.0,104.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,41,60.0,63.0,87.0,96.0,100.0,102.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,5,17.0,21.0,30.0,32.0,33.0,40.0,47.0,53.0,64.0,65.0,66.0,67.0,73.0,97.0,98.0,106.0,118.0,,,,,,,,,,,,,,,,,
10,8,28,37.0,38.0,61.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9,14,51.0,55.0,76.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,39,80.0,81.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
