,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4,23,27.0,61.0,67.0,88.0,,,,,,,,,,,,,,,
1,41,52,60.0,68.0,71.0,82.0,93.0,98.0,,,,,,,,,,,,,
2,0,10,11.0,12.0,20.0,30.0,32.0,36.0,48.0,65.0,70.0,80.0,94.0,96.0,,,,,,,
3,40,45,49.0,56.0,81.0,87.0,89.0,,,,,,,,,,,,,,
4,47,77,,,,,,,,,,,,,,,,,,,
5,16,21,59.0,73.0,74.0,84.0,86.0,,,,,,,,,,,,,,
6,7,19,22.0,28.0,,,,,,,,,,,,,,,,,
7,25,35,58.0,75.0,95.0,,,,,,,,,,,,,,,,
8,1,5,6.0,8.0,9.0,13.0,14.0,17.0,26.0,31.0,33.0,37.0,42.0,44.0,46.0,53.0,54.0,64.0,69.0,90.0,91.0
9,24,39,57.0,62.0,72.0,83.0,85.0,,,,,,,,,,,,,,
10,38,55,66.0,78.0,79.0,,,,,,,,,,,,,,,,
11,15,18,29.0,34.0,50.0,51.0,63.0,76.0,,,,,,,,,,,,,
12,2,3,43.0,92.0,97.0,99.0,,,,,,,,,,,,,,,
