,Ratio_faults_found
Fault_found_number_1,0.996925
Fault_found_number_2,0.983145
Fault_found_number_3,0.0014625
Fault_found_number_4,0.9932875
Fault_found_number_5,0.26078
Fault_found_number_6,1.0
Fault_found_number_7,1.0
Fault_found_number_8,0.9641575
Fault_found_number_9,0.0015075
Fault_found_number_10,0.33505
Fault_found_number_11,0.64525
Fault_found_number_12,0.9785575
Fault_found_number_13,0.94239
Fault_found_number_14,0.9992425
Fault_found_number_15,0.0017575
Fault_found_number_16,0.2188575
Fault_found_number_17,0.8947625
Fault_found_number_18,0.934865
Fault_found_number_19,0.0236975
Fault_found_number_20,0.4898
