,Ratio_faults_found
Fault_found_number_1,0.997445
Fault_found_number_2,0.9868775
Fault_found_number_3,0.0032375
Fault_found_number_4,0.999335
Fault_found_number_5,1.0
Fault_found_number_6,1.0
Fault_found_number_7,1.0
Fault_found_number_8,0.975165
Fault_found_number_9,0.003485
Fault_found_number_10,0.84746
Fault_found_number_11,0.7298725
Fault_found_number_12,0.9921825
Fault_found_number_13,0.94744
Fault_found_number_14,0.999555
Fault_found_number_15,0.0071075
Fault_found_number_16,0.8696825
Fault_found_number_17,0.9246575
Fault_found_number_18,0.939205
Fault_found_number_19,0.860705
Fault_found_number_20,0.9322525
