,Ratio_faults_found
Fault_found_number_1,0.99585
Fault_found_number_2,0.97391
Fault_found_number_3,0.003265
Fault_found_number_4,0.2526525
Fault_found_number_5,0.9004725
Fault_found_number_6,0.9995125
Fault_found_number_7,0.6549325
Fault_found_number_8,0.96487
Fault_found_number_9,0.00341
Fault_found_number_10,0.52314
Fault_found_number_11,0.2055025
Fault_found_number_12,0.985045
Fault_found_number_13,0.939885
Fault_found_number_14,0.70377
Fault_found_number_15,0.0041575
Fault_found_number_16,0.6501425
Fault_found_number_17,0.6165425
Fault_found_number_18,0.93348
Fault_found_number_19,0.62958
Fault_found_number_20,0.7396875
