,Ratio_faults_found
Fault_found_number_1,0.9954975
Fault_found_number_2,0.9822
Fault_found_number_3,0.004135
Fault_found_number_4,0.3502125
Fault_found_number_5,0.63315
Fault_found_number_6,0.998245
Fault_found_number_7,0.6255875
Fault_found_number_8,0.967455
Fault_found_number_9,0.004585
Fault_found_number_10,0.376505
Fault_found_number_11,0.2770575
Fault_found_number_12,0.9855525
Fault_found_number_13,0.9400475
Fault_found_number_14,0.89232
Fault_found_number_15,0.00551
Fault_found_number_16,0.408585
Fault_found_number_17,0.74625
Fault_found_number_18,0.9331075
Fault_found_number_19,0.240275
Fault_found_number_20,0.694285
