,Ratio_faults_found
Fault_found_number_1,0.9956975
Fault_found_number_2,0.985815
Fault_found_number_3,0.0016075
Fault_found_number_4,0.842905
Fault_found_number_5,0.229195
Fault_found_number_6,1.0
Fault_found_number_7,1.0
Fault_found_number_8,0.9697775
Fault_found_number_9,0.0016725
Fault_found_number_10,0.20932
Fault_found_number_11,0.5644
Fault_found_number_12,0.981575
Fault_found_number_13,0.94122
Fault_found_number_14,0.9991525
Fault_found_number_15,0.00193
Fault_found_number_16,0.0778125
Fault_found_number_17,0.84001
Fault_found_number_18,0.931115
Fault_found_number_19,0.03455
Fault_found_number_20,0.38704
